,Component,Strokes,CompositionType,LeftComponent,LeftStrokes,RightComponent,RightStrokes,Signature,Notes,Section
0,一,1,一,一,1,*,0,M,/,*
1,丁,2,吕,一,1,亅,1,MN,/,一
3,七,2,一,七,2,*,0,JU,/,一
7,万,3,一,万,3,*,0,MS,/,一
8,丈,3,一,丈,3,*,0,JK,/,一
9,三,3,回,二,2,一,1,MMM,/,一
10,上,3,一,上,3,*,0,YM,/,一
11,下,3,吕,一,1,卜,2,MY,/,一
13,不,4,一,不,4,*,0,MF,/,一
14,与,4,一,与,4,*,0,YSM,/,一
16,丐,4,一,丐,4,*,0,MYVS,/,一
17,丑,4,一,丑,4,*,0,NG,/,一
19,专,4,一,专,4,*,0,QNI,/,一
20,且,5,一,且,5,*,0,BM,/,一
21,丕,5,吕,不,4,一,1,MFM,/,一
22,世,4,一,世,4,*,0,PT,/,一
24,丘,5,一,丘,5,*,0,OM,/,一
25,丙,5,吕,一,1,内,4,MOB,/,一
26,业,5,一,业,5,*,0,TC,/,一
27,丛,5,咒,人,2,一,1,OOM,/,一
28,东,5,一,东,5,*,0,KD,/,一
29,丝,5,一,丝,5,*,0,VVM,/,一
30,丞,6,吕,氶,5,一,1,NEM,/,一
34,丢,6,吕,壬,4,厶,2,HGI,/,一
36,两,7,一,两,7,*,0,MOOB,/,一
37,严,7,一,严,7,*,0,MTCH,/,一
39,丧,8,一,丧,8,*,0,GCV,/,一
42,个,3,吕,人,2,丨,1,OL,/,丨
43,丫,3,一,丫,3,*,0,CL,/,丨
45,中,4,+,口,3,丨,1,L,/,丨
48,丰,4,一,丰,4,*,0,QJ,/,丨
50,串,7,+,吕,6,丨,1,LL,/,丨
52,临,9,吅,丩,2,2丶4,7,LLOA,/?,丨
56,丸,3,+,九,2,丶,1,KNI,/,丶
57,丹,4,一,丹,4,*,0,BY,/,丶
58,为,4,+,力,2,丷,2,IKSI,/,丶
59,主,5,+,丶,1,王,4,YG,/,丶
61,丽,7,吕,一,1,卪卪,6,MBIB,/?,丶
62,举,9,吕,兴,6,㐄,3,FCQ,/*,丶
67,乃,2,一,乃,2,*,0,NHS,/,丿
69,久,3,一,久,3,*,0,NO,/,丿
71,乇,3,吕,丿,1,七,2,HP,/,丿
72,么,3,吕,丿,1,厶,2,HI,/,丿
73,义,3,+,乂,2,丶,1,IK,/,丿
75,之,3,一,之,3,*,0,INO,/,丿
76,乌,4,一,乌,4,*,0,PVSM,/,丿
77,乍,5,一,乍,5,*,0,OS,/,丿
78,乎,5,一,乎,5,*,0,HFD,/,丿
79,乏,4,吕,丿,1,之,3,HINO,/,丿
80,乐,5,一,乐,5,*,0,HVD,/,丿
82,乒,6,+,丘,5,丿,1,OMH,/,丿
83,乓,6,+,丘,5,丶,1,OMI,/,丿
84,乔,6,吕,丿,1,夰,5,HKLL,/,丿
86,乖,8,+,千,3,北,5,HJLP,/,丿
88,乘,10,+,禾,5,北,5,HDLP,/,丿
89,乙,1,一,乙,1,*,0,NU,/,*
92,乜,2,一,乜,2,*,0,PS,/,乙
93,九,2,一,九,2,*,0,KN,/,乙
94,乞,3,吕,𠂉,2,乙,1,ON,?/,乙
95,也,3,+,乜,2,丨,1,PD,/,乙
96,习,3,一,习,3,*,0,SIM,/,乙
97,乡,3,一,乡,3,*,0,VVH,/,乙
