,char,code
0,一,11
1,乙,11
2,丁,13
3,了,13
4,厂,14
5,乃,14
6,刀,14
7,又,14
8,卜,21 51
9,十,31
10,七,31
11,九,32
12,力,32
13,儿,42
14,人,43
15,入,43
16,八,43
17,几,44
18,三,11 11 11
19,亏,11 13
20,飞,11 43
21,万,11 44
22,习,12
23,弓,12 21
24,己,12 21
25,已,12 21
26,尸,12 41
27,卫,13 11
28,下,13 51
29,刃,14 51
30,叉,14 51
31,及,14 51
32,子,15
33,工,15
34,于,15
35,干,15
36,与,21 11 11
37,上,22 11
38,山,22 21
39,巾,23 21
40,口,24
41,也,31 21
42,才,31 41
43,寸,31 51
44,土,32
45,士,32
46,丸,32 51
47,大,34
48,丈,34
49,乞,41 11 11
50,千,41 31
51,么,41 43
52,亿,42 11
53,川,42 21
54,个,43 21
55,乡,43 41
56,女,44
57,夕,44
58,勺,44 51
59,久,44 51
60,凡,44 51
61,马,45 11
62,亡,51 13
63,广,51 14
64,门,51 23
65,义,51 43
66,之,53
67,小,54
68,丰,11 11 31
69,元,11 11 42
70,云,11 11 43
71,专,11 31 51
72,书,11 31 51
73,丑,11 32
74,井,11 33
75,开,11 33
76,夫,11 34
77,天,11 34
78,无,11 34
79,互,11 44 11
80,瓦,11 44 51
81,巴,12 21 21
82,引,12 21 21
83,尺,12 43
84,巨,13 12
85,五,13 12
86,牙,13 21 41
87,匹,13 42
88,区,13 43
89,不,13 43
90,厅,14 13
91,予,14 13
92,双,14 14
93,劝,14 32
94,历,14 32
95,王,15
96,孔,15 21
97,比,21 11 42
98,止,21 22 11
99,以,21 51 43
100,水,21 53
101,月,23 11 11
102,内,23 43
103,冈,23 43
104,丹,23 51 11
105,中,24 21
106,日,25
107,见,25 42
108,贝,25 43
109,扎,31 11 21
110,支,31 14
111,切,31 14
112,屯,31 22
113,友,32 14
114,队,32 43
115,办,32 52
116,艺,33 11
117,木,34
118,尤,34 51
119,太,34 51
120,犬,34 51
121,车,35
122,气,41 11 11
123,手,41 11 31
124,毛,41 11 31
125,午,41 15
126,片,41 22 11
127,币,41 23 21
128,长,41 31 51
129,升,41 33
130,斤,41 41 13
131,反,41 41 14
132,爪,41 41 21
133,乏,41 53
134,仁,42 11 11
135,仍,42 14
136,仅,42 14
137,仆,42 21 51
138,什,42 31
139,仇,42 32
140,氏,42 32
141,化,42 42
142,幻,43 11
143,仓,43 13
144,分,43 14
145,凶,43 22
146,介,43 42
147,允,43 42
148,父,43 43
149,从,43 43
