,number,radical,variants,simplifiedradical,pinyin,english,strokecount,char,ucn,kDefinition
0,1,一,,,yi1,one,1,一,U+4E00,"one; a, an; alone"
1,2,丨,,,gun3,line,1,丨,U+4E28,number one; line; Kangxi radical 2
2,4,丿,"乀 (fu2), 乁(yi2)",,pie3,slash,1,丿,U+4E3F,line; Kangxi radical 4
3,5,乙,"乚 (yin3), 乛",,yi4,second,1,乙,U+4E59,second; 2nd heavenly stem
4,6,亅,,,jue2,hook,1,亅,U+4E85,hook; Kangxi radical 6
5,3,丶,,,zhu3,dot,1,丶,U+4E36,dot; Kangxi radical 3
6,7,二,,,er4,two,2,二,U+4E8C,two; twice
7,8,亠,,,tou2,lid,2,亠,U+4EA0,head; Kangxi radical 8
8,9,人,亻,,ren2,man,2,人,U+4EBA,man; people; mankind; someone else
9,10,儿,,,er2,legs,2,儿,U+513F,"son, child; Kangxi radical 10"
10,11,入,,,ru4,enter,2,入,U+5165,"enter, come in(to), join"
11,12,八,丷,,ba1,eight,2,八,U+516B,"eight; all around, all sides"
12,13,冂,,,jiong3,down box,2,冂,U+5182,wide; Kangxi radical 13
13,14,冖,,,mi4,over,2,冖,U+5196,cover; Kangxi radical 14
14,15,冫,,,bing1,ice,2,冫,U+51AB,ice; Kangxi radical 15
15,16,几,,,ji1,table,2,几,U+51E0,small table
16,17,凵,,,qu3,open box,2,凵,U+51F5,receptacle; Kangxi radical 17
17,18,刀,刂,,dao1,knife,2,刀,U+5200,knife; old coin; measure
18,19,力,,,li4,power,2,力,U+529B,"power, capability, influence; Kangxi radical 19"
19,20,勹,,,bao1,wrap,2,勹,U+52F9,wrap; Kangxi radical 20
20,21,匕,,,bi3,spoon,2,匕,U+5315,"spoon, ladle; knife, dirk"
21,22,匚,,,fang1,right open box,2,匚,U+531A,box; Kangxi radical 22
22,23,匸,,,xi3,hiding enclo­sure,2,匸,U+5338,box; Kangxi radical 23
23,24,十,,,shi2,ten,2,十,U+5341,"ten, tenth; complete; perfect"
24,25,卜,,,bu3,mysti­cism,2,卜,U+535C,fortune telling; prophesy
25,26,卩,,,jie2,seal,2,卩,U+5369,seal; Kangxi radical 26
26,27,厂,,,han4,cliff,2,厂,U+5382,"factory, workshop; radical 27"
27,28,厶,,,si1,private,2,厶,U+53B6,"private, secret; Kangxi radical 28"
28,29,又,,,you4,again,2,又,U+53C8,"and, also, again, in addition"
29,31,囗,,,wei2,enclo­sure,3,囗,U+56D7,"erect, proud; upright; bald"
30,32,土,,,tu3,earth,3,土,U+571F,"soil, earth; items made of earth"
31,33,士,,,shi4,scholar,3,士,U+58EB,"scholar, gentleman; soldier"
32,34,夂,,,zhi3 (top),go,3,夂,U+5902,go; Kangxi radical 34
33,35,夊,,,sui1 (bot­tom),go slowly,3,夊,U+590A,Kangxi radical 35; go slowly
34,36,夕,,,xi1,evening,3,夕,U+5915,"evening, night, dusk; slanted"
35,37,大,,,da4,big,3,大,U+5927,"big, great, vast, large, high"
36,38,女,,,nü3,woman,3,女,U+5973,"woman, girl; feminine; Kangxi radical 38"
37,39,子,,,zi3,child,3,子,U+5B50,"offspring, child; fruit, seed of; 1st terrestrial branch"
38,40,宀,,,mian2,roof,3,宀,U+5B80,roof; Kangxi radical 40
39,41,寸,,,cun4,inch,3,寸,U+5BF8,"inch; small, tiny; Kangxi radical 41"
40,42,小,,,xiao3,small,3,小,U+5C0F,"small, tiny, insignificant"
41,43,尢,尣,,wang1,lame,3,尢,U+5C22,weak; Kangxi radical 43
42,44,尸,,,shi1,corpse,3,尸,U+5C38,corpse; to impersonate the dead; to preside; Kangxi radical 44
43,45,屮,,,che4,sprout,3,屮,U+5C6E,sprout; Kangxi radical 45
44,46,山,,,shan1,moun­tain,3,山,U+5C71,"mountain, hill, peak"
45,47,川,"巛, 巜 (gui4)",,chuan1,river,3,川,U+5DDD,"stream, river; flow; boil"
46,48,工,,,gong1,work,3,工,U+5DE5,"labor, work; worker, laborer"
47,49,己,,,ji3,oneself,3,己,U+5DF1,"self, oneself; personal, private; 6th heavenly stem"
48,50,巾,,,jin1,turban,3,巾,U+5DFE,kerchief; towel; turban; Kangxi radical 50
49,51,干,,,gan1,dry,3,干,U+5E72,"oppose, offend; invade; dried"
50,52,幺,,,yao1,short thread,3,幺,U+5E7A,"one; tiny, small"
51,30,口,,,kou3,mouth,3,口,U+53E3,"mouth; open end; entrance, gate"
52,53,广,,,guan3,dotted cliff,3,广,U+5E7F,"wide, extensive, broad; rad. 53"
53,54,廴,,,yin3,long stride,3,廴,U+5EF4,go; Kangxi radical 54
54,55,廾,,,gong3,two hands,3,廾,U+5EFE,two hands; Kangxi radical 55
55,56,弋,,,yi4,shoot,3,弋,U+5F0B,"catch, arrest; shoot with bow"
56,57,弓,,,gong1,bow,3,弓,U+5F13,"bow; curved, arched; Kangxi radical 57"
57,58,彐,彑,,ji4,snout,3,彐,U+5F50,snout; Kangxi radical 58
58,59,彡,,,shan1,bristle,3,彡,U+5F61,hair; Kangxi radical 59
59,60,彳,,,chi4,step,3,彳,U+5F73,step with left foot; rad. no 60
60,61,心,忄,,xin1,heart,4,心,U+5FC3,"heart; mind, intelligence; soul"
61,62,戈,,,ge1,halberd,4,戈,U+6208,"halberd, spear, lance; rad. 62"
62,63,戶,,,hu4,door,4,戶,U+6236,"door; family, household"
63,64,手,扌,,shou3,hand,4,手,U+624B,hand
64,65,支,,,zhi1,branch,4,支,U+652F,"disperse, pay; support; branch"
65,66,攴,攵,,pu1,rap,4,攴,U+6534,"rap, tap lightly; Kangxi radical 66"
66,67,文,,,wen2,script,4,文,U+6587,"literature, culture, writing"
67,68,斗,,,dou3,dipper,4,斗,U+6597,Chinese peck; liquid measure
68,69,斤,,,jin1,axe,4,斤,U+65A4,"a catty (approximately 600 g); an axe; keen, shrewd; Kangxi radical 69"
69,70,方,,,fang1,square,4,方,U+65B9,"a square, rectangle; a region; local"
70,71,无,,,wu2,not,4,无,U+65E0,"negative, no, not; Kangxi radical 71"
71,72,日,,,ri4,sun,4,日,U+65E5,sun; day; daytime
72,73,曰,,,yue1,say,4,曰,U+66F0,say; Kangxi radical 73
73,74,月,,,yue4,moon,4,月,U+6708,moon; month; Kangxi radical 74
74,75,木,,,mu4,tree,4,木,U+6728,"tree; wood, lumber; wooden"
75,76,欠,,,qian4,lack,4,欠,U+6B20,"owe, lack, be deficient; Kangxi radical 76"
76,77,止,,,zhi3,stop,4,止,U+6B62,"stop, halt, desist; detain"
77,79,殳,,,shu1,weapon,4,殳,U+6BB3,name of old weapon; kill; rad. 79
78,80,毋,,,wu2,do not,4,毋,U+6BCB,do not; not; surname; rad. 80
79,81,比,,,bi3,compare,4,比,U+6BD4,"to compare, liken; comparison; than"
80,82,毛,,,mao2,fur,4,毛,U+6BDB,"hair, fur, feathers; coarse"
81,83,氏,,,shi4,clan,4,氏,U+6C0F,"clan, family; mister"
82,84,气,,,qi4,steam,4,气,U+6C14,"steam, vapor; Kangxi radical 84"
83,85,水,氵,,shui3,water,4,水,U+6C34,"water, liquid, lotion, juice"
84,86,火,灬,,huo3,fire,4,火,U+706B,"fire, flame; burn; anger, rage"
85,87,爪,爫,,zhao3,claw,4,爪,U+722A,"claw, nail, talon; animal feet"
86,88,父,,,fu4,father,4,父,U+7236,father; Kangxi radical 88
87,89,爻,,,yao2,double x,4,爻,U+723B,diagrams for divination
88,90,爿,丬,,"pan2, qiang2",half tree trunk,4,爿,U+723F,half of tree trunk; Kangxi radical 90
89,91,片,,,pian4,slice,4,片,U+7247,"slice, splinter, strip; rad. 91"
90,92,牙,,,ya2,fang,4,牙,U+7259,"tooth, molars, teeth; serrated"
91,93,牛,牜,,niu2,cow,4,牛,U+725B,"cow, ox, bull; Kangxi radical 93"
92,94,犬,犭,,quan3,dog,4,犬,U+72AC,dog; radical number 94
93,78,歹,,,dai3,death,4,歹,U+6B79,"bad, vicious, depraved, wicked"
94,95,玄,,,xuan2,pro­found,5,玄,U+7384,"deep, profound, abstruse; Kangxi radical 95"
