,ucn,char,1,2
0,U+4E00,一,一,
1,U+4E01,丁,⿱一亅,
2,U+4E03,七,⿻㇀乚,
3,U+4E07,万,⿱一⿰丿𠃌,
4,U+4E08,丈,丈,
5,U+4E09,三,⿱一二,
6,U+4E0A,上,⿱⺊一,
7,U+4E0B,下,⿱一卜,
8,U+4E0D,不,不,
9,U+4E0E,与,与,⿻②一[J]
10,U+4E10,丐,丐,
11,U+4E11,丑,丑,
12,U+4E13,专,专,
13,U+4E14,且,且,
14,U+4E15,丕,⿱不一,
15,U+4E16,世,世,
16,U+4E18,丘,丘,
17,U+4E19,丙,⿱一内,
18,U+4E1A,业,业,
19,U+4E1B,丛,⿱从一,
20,U+4E1C,东,东,
21,U+4E1D,丝,丝,
22,U+4E1E,丞,⿱氶一,
23,U+4E22,丢,⿱丿去,⿱𡈼厶
24,U+4E24,两,⿱一⿻冂从,
25,U+4E25,严,严,
26,U+4E27,丧,⿱⿻土丷⿰𠄌⿺乀丿,
27,U+4E28,丨,丨,
28,U+4E2A,个,⿱人丨,
29,U+4E2B,丫,⿱丷丨,
30,U+4E2D,中,⿻口丨,
31,U+4E30,丰,⿻三丨[GJK],⿻丿⿻二丨[TV]
32,U+4E32,串,⿻吕丨,⿻中口
33,U+4E34,临,⿰〢⿱⿱𠂉丶𫩏,
34,U+4E36,丶,丶,
35,U+4E38,丸,⿻九丶[GJ],⿵九丶[TKV]
36,U+4E39,丹,丹,
37,U+4E3A,为,为,
38,U+4E3B,主,⿱亠土,⿱丶王
39,U+4E3D,丽,⿱一⿰⿵冂丶⿵冂丶[G],⿰⿱一⿵冂丶⿱一⿵冂丶[T]
40,U+4E3E,举,⿱兴⿻二丨,
41,U+4E3F,丿,丿,
42,U+4E43,乃,⿹𠄎丿,
43,U+4E45,久,久,
44,U+4E47,乇,⿱丿七,
45,U+4E48,么,⿱丿厶,
46,U+4E49,义,⿶乂丶,
47,U+4E4B,之,之,
48,U+4E4C,乌,乌,
49,U+4E4D,乍,乍,
50,U+4E4E,乎,乎,
51,U+4E4F,乏,⿱丿之,
52,U+4E50,乐,乐,
53,U+4E52,乒,⿱丘丿,
54,U+4E53,乓,⿱丘丶,
55,U+4E54,乔,⿱夭⿰丿丨,
56,U+4E56,乖,⿻千北,
57,U+4E58,乘,⿻禾北,
58,U+4E59,乙,乙,
59,U+4E5C,乜,乜,
60,U+4E5D,九,九,
61,U+4E5E,乞,⿱𠂉乙,
62,U+4E5F,也,也,
63,U+4E60,习,⿹𠃌冫,
64,U+4E61,乡,乡,
