,char,IndvRawFrequency,cumulativeRawFrequency,Pinyin,English,kDefinition,kHanyuPinyin,kMandarin,kTotalStrokes,kSimplifiedVariant,ucn
0,的,7922684,4.094325317834,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear","possessive, adjectival suffix","42644.160:dì,dí,de",de,8,,U+7684
1,一,3050722,5.670893097424,yi1,one/1/single/a(n),"one; a, an; alone",10001.010:yī,yī,1,,U+4E00
2,是,2615490,7.0225394492842,shi4,is/are/am/yes/to be,"indeed, yes, right; to be; demonstrative pronoun, this, that","21497.050:shì,tí",shì,9,,U+662F
3,不,2237915,8.179060653924,bu4/bu2,(negative prefix)/not/no,"no, not; un-; negative prefix","10011.060:bù,fǒu,fōu,fū",bù,4,,U+4E0D
4,了,2128528,9.2790522830384,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",to finish; particle of completed action,"10048.060:liǎo,le,liào",le,2,U+4E86,U+4E86
5,在,2009181,10.317367156686,zai4,(located) at/in/exist,"be at, in, on; consist in, rest",10418.070:zài,zài,6,,U+5728
6,人,1867999,11.282721271452,ren2,man/person/people,man; people; mankind; someone else,10101.100:rén,rén,2,,U+4EBA
7,有,1782004,12.203634448562,you3,to have/there is/there are/to exist/to be,"have, own, possess; exist","32041.050:yǒu,yòu,wěi",yǒu,6,,U+6709
8,我,1690048,13.077026131829,wo3,I/me/myself,"our, us, i, me, my, we",21401.020:wǒ,wǒ,7,,U+6211
9,他,1595761,13.901691695105,ta1,he/him,"other, another; he, she, it","10115.060:tā,tuó",tā,5,,U+4ED6
10,这,1552042,14.703763929078,zhe4/zhei4,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)","this, the, here",,zhè,7,U+8FD9,U+8FD9
11,个,1199580,15.323689040917,ge4,(a measure word)/individual,"numerary adjunct, piece; single","10103.010:gè,gàn",gè,3,U+4E2A,U+4E2A
12,们,1169853,15.928251681058,men,(plural marker for pronouns and a few animate nouns),adjunct pronoun indicate plural,,men,5,,U+4EEC
13,中,1104541,16.499062050484,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)","central; center, middle; in the midst of; hit (target); attain","10028.100:zhōng,zhòng",zhōng,4,,U+4E2D
14,来,1079469,17.056915583014,lai2,to come,"come, coming; return, returning",,lái,7,,U+6765
15,上,1069575,17.609656043421,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up","top; superior, highest; go up, send up","10005.040:shàng,shǎng",shàng,3,,U+4E0A
16,大,1054064,18.154380649605,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor","big, great, vast, large, high","10520.010:dà,dài,tài",dà,3,,U+5927
17,为,1039036,18.691339008785,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to","do, handle, govern, act; be",,wèi,4,,U+4E3A
18,和,1010465,19.213532299882,he2/he4/huo2/huo4,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend","harmony, peace; peaceful, calm","10602.010:hè,hé,huò,huó,hú",hé,8,,U+548C
19,国,985350,19.722746532323,guo2,country/state/nation,"nation, country, nation-state",,guó,8,,U+56FD
20,地,969349,20.223691685823,de/di4,"(subor. part. adverbial)/-ly, earth/ground/field/place/land","earth; soil, ground; region","10420.120:dì,de",de dì,6,,U+5730
21,到,965035,20.722407428253,dao4,to (a place)/until (a time)/up to/to go/to arrive,"go to, arrive, been to",10334.030:dào,dào,8,,U+5230
22,以,910627,21.193005925076,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.),"by means of; thereby, therefore; consider as; in order to","10105.070:yǐ,sì",yǐ,4,,U+4EE5
23,说,874977,21.645181031848,shui4/shuo1,"persuade (politically), to speak/to say","speak, say, talk; scold, upbraid",,shuō,9,,U+8BF4
24,时,833532,22.075937978714,shi2,o'clock/time/when/hour/season/period,"time, season; era, age, period",,shí,7,U+65F6,U+65F6
25,要,811011,22.495056407563,yao1/yao4,"demand/ask/request/coerce, important/vital/to want/to be going to/must","necessary, essential; necessity","42805.080:yāo,yào,yǎo",yào,9,,U+8981
26,就,771108,22.893553559182,jiu4,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake,"just, simply; to come, go to; to approach, near",10555.110:jiù,jiù,12,,U+5C31
27,出,755256,23.283858632848,chu1,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)","go out, send out; stand; produce",10307.080:chū,chū,5,U+51FA,U+51FA
28,会,734888,23.66363782689,hui4/kuai4,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting","assemble, meet together; meeting",,huì,6,U+4F1A,U+4F1A
29,可,723108,24.037329292046,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis),"may, can, -able; possibly","10567.070:kě,gē,kè",kě,5,,U+53EF
30,也,710259,24.404380585007,ye3,also/too,also; classical final particle of strong affirmation or identity,"10050.050:yí,yě",yě,3,,U+4E5F
31,你,705205,24.768820045897,ni3,you,"you, second person pronoun",10137.050:nǐ,nǐ,7,,U+4F60
32,对,703632,25.13244660377,dui4,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right,"correct, right; facing, opposed",,duì,5,U+5BF9,U+5BF9
33,生,682031,25.48491008595,sheng1,to be born/to give birth/life/to grow,"life, living, lifetime; birth",42575.010:shēng,shēng,5,,U+751F
34,能,665358,25.828757209579,neng2,can/may/capable/energy/able,"to be able; can, permitted to; ability","32074.010:néng,tái,nái,nài,xióng",néng,10,,U+80FD
35,而,649239,26.164274273623,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast),and; and then; and yet; but; Kangxi radical 126,"42810.010:ér,néng",ér,6,,U+800C
36,子,640640,26.495347502293,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)","offspring, child; fruit, seed of; 1st terrestrial branch","21006.060:zǐ,zi",zi,3,,U+5B50
37,那,638538,26.825334448611,na3/na4/nei4,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)","that, that one, those","63760.040:nuó,nuò,nà,nèi,nǎ,něi,né,nuó,nā",nà,6,,U+90A3
38,得,630688,27.151264631621,de2/de/dei3,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to","obtain, get, gain, acquire","20828.030:dé,děi,dé,de",dé,11,,U+5F97
39,于,630524,27.47711006187,yu2,"(surname), in/at/to/from/by/than/out of","in, on, at; go to; surname","10004.050:yú,wéi,yū,xū",yú,3,U+4E8E,U+4E8E
40,着,626326,27.800786028123,zhao1/zhao2/zhe/zhu4/zhuo2,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply","make move, take action","53129.090:zhuó,zhāo,zháo,zhe",zhe,11,U+7740,U+7740
41,下,621185,28.121805201998,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter","under, underneath, below; down; inferior; bring down",10007.010:xià,xià,3,,U+4E0B
42,自,611687,28.437915950665,zi4,from/self/oneself/since,"self, private, personal; from; Kangxi radical 132",53046.010:zì,zì,6,,U+81EA
43,之,609003,28.75263964803,zhi1,(literary equivalent of 的)/(subor. part.)/him/her/it,"marks preceding phrase as modifier of following phrase; it, him her, them; go to","10043.010:zhī,zhū,zhì",zhī,3,,U+4E4B
44,年,601887,29.063685902377,nian2,year,year; new-years; person's age,"10037.060:nián,nìng",nián,6,,U+5E74
45,过,589925,29.368550372944,guo4,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-,"pass, pass through, go across",,guò,6,U+8FC7,U+8FC7
46,发,572904,29.664618643733,fa1/fa4,"to send out/to show (one's feeling)/to issue/to develop, hair","issue, dispatch, send out; hair",,fā,5,,U+53D1
47,后,570764,29.959580994334,hou4,"empress/queen/surname, back/behind/rear/afterwards/after/later","queen, empress, sovereign; (simp. for 後) behind, rear, after",10580.010:hòu,hòu,6,U+540E,U+540E
48,作,542791,30.240087314363,zuo4,to regard as/to take (somebody) for/to do/to make,"make; work; compose, write; act, perform","10134.060:zuò,zuō,zuó",zuò,7,,U+4F5C
49,里,537795,30.518011775859,li3,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown",unit of distance; village; lane; Kangxi radical 166,63680.010:lǐ,lǐ,7,U+91CC,U+91CC
50,用,535480,30.794739879768,yong4,to use,"use, employ, apply, operate; use",10097.050:yòng,yòng,5,,U+7528
51,道,534695,31.071062307347,dao4,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk,"path, road, street; method, way","63864.010:dào,dǎo",dào,12,,U+9053
52,行,531848,31.345913447647,hang2/xing2/xing4,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct","go; walk; move, travel; circulate; Kangxi radical 144","20811.060:háng,xìng,xíng,hàng,héng",xíng,6,,U+884C
53,所,523028,31.61620654306,suo3,actually/place,"place, location; numerary adjunct",32259.010:suǒ,suǒ,8,,U+6240
54,然,511026,31.880297183286,ran2,correct/right/so/thus/like this/-ly,"yes, certainly; pledge, promise",32213.050:rán,rán,12,,U+7136
55,家,509790,32.143749077086,jia1,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession","house, home, residence; family","20930.150:jiā,jià,jia,jie,gū",jiā,10,U+5BB6,U+5BB6
56,种,503344,32.403869773908,zhong3/zhong4,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate","seed; race, breed; to plant","42593.130:chóng,zhǒng,zhòng",zhǒng,9,U+79CD,U+79CD
57,事,499172,32.661834443148,shi4,matter/thing/item/work/affair,"affair, matter, business; to serve; accident, incident","10023.030:shì,zì",shì,8,,U+4E8B
58,成,499007,32.919713842841,cheng2/cheng4,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth","completed, finished, fixed",21399.010:chéng,chéng,6,,U+6210
59,方,492763,33.174366436153,fang1,square/quadrilateral/direction/just,"a square, rectangle; a region; local","32172.010:fāng,fáng,fǎng,páng,wǎng,fēng",fāng,4,,U+65B9
60,多,481689,33.423296150884,duo1,many/much/a lot of/numerous/multi-,"much, many; more than, over",20862.020:duō,duō,6,,U+591A
61,经,481338,33.672044474033,jing1,classics/sacred book/pass through/to undergo/scripture,classic works; pass through,,jīng,8,,U+7ECF
62,么,477969,33.919051748062,ma/me/yao1,"(interrog. part.), (interrog. suff.), one on dice/small",interrogative particle; repetition of a tune small; tender,"10033.020:yāo,mó,ma,me",me,3,U+4E48,U+4E48
63,去,476270,34.165181004148,qu4,to go/to leave/to remove,"go away, leave, depart","10384.080:qù,qū",qù,5,,U+53BB
64,法,466816,34.406424573571,fa3,law/method/way/Buddhist teaching/Legalist/France (abbrev.),"law, rule, regulation, statute; France, French",31579.040:fǎ,fǎ,8,,U+6CD5
65,学,464261,34.646347756975,xue2,learn/study/science/-ology,"learning, knowledge; school",,xué,8,,U+5B66
66,如,449036,34.878402886704,ru2,as (if)/such as,"if, supposing; as if; like, as",21025.090:rú,rú,6,,U+5982
67,都,439568,35.105565094778,dou1/du1,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city","metropolis, capital; all, the whole; elegant, refined","63776.070:dū,dōu",dōu dū,10,,U+90FD
68,同,437611,35.331715954343,tong2,like/same/similar/together/alike/with,"same, similar; together with","10578.010:tóng,tòng",tóng,6,U+540C,U+540C
69,现,433960,35.555980031381,xian4,appear/present/now/existing/current,"appear, manifest, become visible",,xiàn,8,,U+73B0
70,当,429274,35.777822453278,dang1/dang4,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent","bear, accept, undertake; just",,dāng,6,U+5F53,U+5F53
71,没,428146,35.999081941544,mei2/mo4,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate","not, have not, none; drown, sink","31570.070:mò,me,méi",méi,7,U+6CA1,U+6CA1
72,动,426839,36.219665991638,dong4,to use/to act/to move/to change,"move, happen; movement, action",,dòng,6,U+52A8,U+52A8
73,面,425180,36.439392695195,mian4,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles","face; surface; plane; side, dimension; Kangxi radical 176",74398.010:miàn,miàn,9,U+9762,U+9762
74,起,424933,36.658991752822,qi3,to rise/to raise/to get up,"rise, stand up; go up; begin",53476.020:qǐ,qǐ,10,,U+8D77
75,看,424616,36.878426989563,kan1/kan4,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at","look, see; examine, scrutinize","42474.030:kàn,kān",kàn,9,,U+770B
76,定,422538,37.096788346793,ding4,to set/to fix/to determine/to decide/to order,"decide, settle, fix",20918.020:dìng,dìng,8,,U+5B9A
77,天,419884,37.313778156276,tian1,day/sky/heaven,"sky, heaven; god, celestial",10522.010:tiān,tiān,4,,U+5929
78,分,419382,37.530508539621,fen1/fen4,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part",divide; small unit of time etc.,"10321.030:fēn,fèn,fén,bàn",fēn,4,,U+5206
79,还,415855,37.745416221796,hai2/huan2/huan4,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return","still, yet, also, besides","63818.140:fú,huán,hái",hái,7,U+8FD8,U+8FD8
80,进,412166,37.95841748361,jin4,advance/enter/to come in,"advance, make progress, enter",,jìn,7,,U+8FDB
81,好,411866,38.171263709883,hao3/hao4,"good/well, be fond of","good, excellent, fine; well","21028.010:hǎo,hào",hǎo,6,,U+597D
